60.251.232.240:995#TW 台湾优选1
ryn.ircf.space#TW 台湾域名81
saas.sin.fan#TW 台湾域名82
sbn.ircf.space#TW 台湾域名83
sg.cf.3666888.xyz#TW 台湾域名84
shm.ircf.space#TW 台湾域名85
sht.ircf.space#TW 台湾域名86
smt.ircf.space#TW 台湾域名87
speed.marisalnc.com#TW 台湾域名88
staticdelivery.nexusmods.com#TW 台湾域名89
stonexbullion.com#TW 台湾域名90
store.ubi.com#TW 台湾域名91
sy.hhhhh.eu.org#TW 台湾域名92
sy.mmhh.eu.cc#TW 台湾域名93
tajikistan.mfa.gov.ua#TW 台湾域名94
test.509666.xyz#TW 台湾域名95
time.is#TW 台湾域名96
ts.ircf.space#TW 台湾域名97
uac.cf.3666888.xyz#TW 台湾域名98
udp.ircf.space#TW 台湾域名99
visa.com#TW 台湾域名100
vps.cheng2001.top#TW 台湾域名101
wto.hhhhh.eu.org#TW 台湾域名102
www.epicgames.com#TW 台湾域名103
www.jimdo.com#TW 台湾域名104
www.leics.police.uk#TW 台湾域名105
www.mc.js.cool#TW 台湾域名106
www.sage.com#TW 台湾域名107
www.shopify.com#TW 台湾域名108
www.visa.cn#TW 台湾域名109
www.visa.com#TW 台湾域名110
xn--b6gac.eu.org#TW 台湾域名111
yd.hhhhh.eu.org#TW 台湾域名112
yd.mmhh.eu.cc#TW 台湾域名113
yg1.ygkkk.dpdns.org#TW 台湾域名114
yg10.ygkkk.dpdns.org#TW 台湾域名115
yg11.ygkkk.dpdns.org#TW 台湾域名116
yg12.ygkkk.dpdns.org#TW 台湾域名117
yg13.ygkkk.dpdns.org#TW 台湾域名118
yg2.ygkkk.dpdns.org#TW 台湾域名119
yg3.ygkkk.dpdns.org#TW 台湾域名120
yg4.ygkkk.dpdns.org#TW 台湾域名121
yg5.ygkkk.dpdns.org#TW 台湾域名122
yg6.ygkkk.dpdns.org#TW 台湾域名123
yg7.ygkkk.dpdns.org#TW 台湾域名124
yg8.ygkkk.dpdns.org#TW 台湾域名125
yg9.ygkkk.dpdns.org#TW 台湾域名126
youxuan.cf.636949.xyz#TW 台湾域名127
youxuan1.cf.090227.xyz#TW 台湾域名128
youxuan2.cf.090227.xyz#TW 台湾域名129
zeas.top#TW 台湾域名130
ztl.ircf.space#TW 台湾域名131
